,pct_homeownership_black_alone,pct_black_loans,pct_bach_degree_or_higher_black_alone
438,55.4,34.831460674157306,13.4
439,36.9,25.3551912568306,15.1
440,37.8,18.890356671070013,17.8
441,46.8,33.061991233562935,11.7
442,21.0,33.33333333333333,15.8
443,43.9,33.453626849512816,17.4
444,47.7,7.380796864794252,46.9
445,41.8,27.797953119841534,9.9
446,31.7,15.401785714285715,39.2
447,43.3,4.931192660550459,56.2
448,29.4,15.613825983313468,6.5
449,59.4,32.417582417582416,34.6
450,11.4,29.482071713147413,7.9
451,43.5,34.23743886171632,9.3
452,35.8,33.07392996108949,14.0
455,44.6,12.511415525114156,34.2
456,26.4,20.27315407597098,16.6
457,78.2,25.94458438287154,44.8
458,79.5,4.044117647058823,72.9
459,82.6,0.9153318077803204,88.3
460,69.6,33.21596244131456,18.1
462,41.8,2.2641509433962264,12.8
463,99.8,1.639344262295082,4.7
467,0.0,1.0101010101010102,0.0
473,82.7,1.9230769230769231,0.0
476,20.3,1.7412935323383085,21.0
479,55.6,0.684931506849315,4.8
485,41.4,1.4705882352941175,18.1
489,30.2,2.564102564102564,7.2
490,31.1,12.3395853899309,9.5
491,44.0,9.17146654851573,22.6
492,4.9,0.5780346820809248,75.0
495,56.9,2.0,7.8
500,80.5,4.761904761904762,5.2
505,18.6,0.8695652173913043,7.3
509,81.0,2.380952380952381,24.8
510,60.7,3.3333333333333335,6.7
511,64.7,2.491103202846975,4.3
513,99.6,4.761904761904762,22.2
514,46.5,6.156716417910448,7.8
515,37.4,1.1235955056179776,3.8
519,57.7,1.884057971014493,4.3
521,98.5,2.247191011235955,7.5
522,84.8,10.81081081081081,3.7
524,56.8,2.4830699774266365,10.1
527,51.9,9.375,9.8
530,88.7,9.67741935483871,20.2
531,80.3,1.4285714285714286,18.7
536,39.1,0.6993006993006993,8.7
538,47.8,2.4096385542168677,0.0
542,65.7,10.869565217391305,14.2
543,31.4,2.7559055118110236,13.3
545,94.6,2.0,0.0
547,74.6,28.125,9.0
549,44.9,4.70756062767475,11.1
557,99.9,50.0,0.0
565,24.3,0.5571030640668524,21.5
571,40.4,4.964539007092199,13.6
575,42.7,2.7837259100642395,7.7
579,35.5,0.33783783783783783,4.9
583,11.6,0.9742120343839542,24.7
585,48.1,0.10559662090813093,11.3
594,0.0,0.5681818181818182,7.8
598,0.0,0.25220680958385877,0.0
604,43.2,0.8403361344537815,24.0
622,49.2,0.30364372469635625,16.2
627,0.1,26.865671641791046,19.1
